distribution,nu,alloc_index,n1,n2,rho,rep,L0,L_dense,L_RBPB,m_dense,m_rbpb,eps_hat,tau,zero,sentinel,sentinel_falling,mcse_at_pick,cond_source,cond_target,runtime_s,B,boot_seed,n_warnings,failure
t5,5.0,0,48,192,0.25,70,0.5041673814014718,0.37058954638266184,0.3841818038786877,31.0,16.0,0.28473003582073536,0.01779562723879596,False,False,False,0.003964691647664511,5.299635223924355,4.8256990092278915,0.006081458006519824,250,"(20260922, 1, 0, 0, 70)",0,
t5,5.0,0,48,192,0.25,71,0.5077202189776745,0.43884117743851,0.4201888489925706,31.0,18.0,0.3177128145145478,0.017650711917474877,False,False,False,0.0047063294065270754,4.985234577882801,3.6204186602398734,0.006124958046711981,250,"(20260922, 1, 0, 0, 71)",0,
t5,5.0,0,48,192,0.25,72,0.5597714124353577,0.31120335583102415,0.35425390632122133,31.0,18.0,0.29130241358502473,0.016183467421390263,False,False,False,0.0046495047588222494,3.7596880633678884,4.608506748413448,0.006123625033069402,250,"(20260922, 1, 0, 0, 72)",0,
t5,5.0,0,48,192,0.25,73,0.41170567892935184,0.4561897885832068,0.39883638876735805,31.0,18.0,0.3488914160624168,0.019382856447912045,False,False,False,0.005818691191244083,8.526079382213336,3.484482154937362,0.006129707966465503,250,"(20260922, 1, 0, 0, 73)",0,
t5,5.0,0,48,192,0.25,74,0.6603356635274844,0.39736277309977697,0.4442596808052268,31.0,18.0,0.3987367513364307,0.022152041740912818,False,False,False,0.0064474042583026955,4.089295723410478,3.8910021442074147,0.006149207998532802,250,"(20260922, 1, 0, 0, 74)",0,
t5,5.0,0,48,192,0.25,75,0.6460529680089806,0.5521465915928647,0.5410345389122815,31.0,18.0,0.33113958061401816,0.018396643367445453,False,False,False,0.004566559482293858,13.632043785616668,3.831445679564571,0.0061253749881871045,250,"(20260922, 1, 0, 0, 75)",0,
t5,5.0,0,48,192,0.25,76,0.37752135617560323,0.3215191180574275,0.2963397833999222,31.0,18.0,0.4083448377159386,0.022685824317552145,False,False,False,0.006291449819896931,7.024007204889917,5.274107308414021,0.0061246249824762344,250,"(20260922, 1, 0, 0, 76)",0,
t5,5.0,0,48,192,0.25,77,0.35696709937453575,0.1677490791936912,0.18941816125072752,31.0,18.0,0.3259774696419665,0.018109859424553693,False,False,False,0.005693846058254046,5.727144190632359,3.7458373848132487,0.006119333964306861,250,"(20260922, 1, 0, 0, 77)",0,
t5,5.0,0,48,192,0.25,78,0.646011729831688,0.2592822327216343,0.3492973611482454,31.0,18.0,0.33465600792325706,0.018592000440180948,False,False,False,0.006375381133624322,5.982587443262207,5.558154900862969,0.006120167032349855,250,"(20260922, 1, 0, 0, 78)",0,
t5,5.0,0,48,192,0.25,79,0.43875487893256504,0.36821209087558404,0.3507892834861041,31.0,18.0,0.34806181180140133,0.019336767322300073,False,False,False,0.005437987123535,5.018131245976588,4.090245164238693,0.006144958024378866,250,"(20260922, 1, 0, 0, 79)",0,
