cell,rep,B,pick,ref_pick,agree,regret,regret_pos,regret_se,zero,top
P2,4,250,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,4,500,11.0,10.0,False,-4.7296245392859166e-05,0.0,0.00011080392439841651,False,False
P2,4,1000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,4,2000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,4,4000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,4,8000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,5,250,10.0,11.0,False,-4.776500652490399e-05,0.0,0.00010668052761267771,False,False
P2,5,500,10.0,11.0,False,-4.776500652490399e-05,0.0,0.00010668052761267771,False,False
P2,5,1000,10.0,11.0,False,-4.776500652490399e-05,0.0,0.00010668052761267771,False,False
P2,5,2000,10.0,11.0,False,-4.776500652490399e-05,0.0,0.00010668052761267771,False,False
P2,5,4000,10.0,11.0,False,-4.776500652490399e-05,0.0,0.00010668052761267771,False,False
P2,5,8000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,6,250,12.0,10.0,False,0.0010963669616232757,0.0010963669616232757,0.0002105724760271323,False,False
P2,6,500,11.0,10.0,False,7.451580654561875e-05,7.451580654561875e-05,0.00010615485728335998,False,False
P2,6,1000,11.0,10.0,False,7.451580654561875e-05,7.451580654561875e-05,0.00010615485728335998,False,False
P2,6,2000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,6,4000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,6,8000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,7,250,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,7,500,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,7,1000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,7,2000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,7,4000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,7,8000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,8,250,10.0,11.0,False,-5.936185631151879e-05,0.0,0.00010174485833916867,False,False
P2,8,500,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,8,1000,10.0,11.0,False,-5.936185631151879e-05,0.0,0.00010174485833916867,False,False
P2,8,2000,10.0,11.0,False,-5.936185631151879e-05,0.0,0.00010174485833916867,False,False
P2,8,4000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,8,8000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,9,250,10.0,11.0,False,5.225476594959019e-05,5.225476594959019e-05,0.00010331524768773196,False,False
P2,9,500,10.0,11.0,False,5.225476594959019e-05,5.225476594959019e-05,0.00010331524768773196,False,False
P2,9,1000,10.0,11.0,False,5.225476594959019e-05,5.225476594959019e-05,0.00010331524768773196,False,False
P2,9,2000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,9,4000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,9,8000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,10,250,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,10,500,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,10,1000,11.0,10.0,False,9.535602100604627e-06,9.535602100604627e-06,9.73628507811869e-05,False,False
P2,10,2000,11.0,10.0,False,9.535602100604627e-06,9.535602100604627e-06,9.73628507811869e-05,False,False
P2,10,4000,11.0,10.0,False,9.535602100604627e-06,9.535602100604627e-06,9.73628507811869e-05,False,False
P2,10,8000,10.0,10.0,True,0.0,0.0,0.0,False,False
